name,kills per game,deaths per game,assists per game,kda,dmg/min,cs/min,gold/min,dmg/gold,games
Retrodonte,13.718432510885341,10.925979680696662,20.066763425253992,3.0921891604675875,1688.206633674695,2.862148864351507,718.1401968075976,2.350803702646651,689
FOLININPISIS,7.024469820554649,9.115823817292007,19.6884176182708,2.930386542591267,849.6285276686428,1.8645268695478472,628.5977492175539,1.3516251509430581,613
Sikkario,7.237442922374429,7.769406392694064,23.812785388127853,3.9964736996767556,952.502087392151,1.8219991519677516,635.895411846674,1.4978911148706584,438
Røku,10.264705882352942,10.620320855614974,18.93850267379679,2.7497482376636455,1256.0403113307175,2.43184751574254,655.3284747663065,1.9166576147612506,374
Yone Biden,12.523297491039427,9.469534050179211,19.594982078853047,3.3917486752460255,1302.1143730922004,1.5402082123743217,682.2706760866188,1.9085011546456794,279
Cubita,12.597785977859779,11.859778597785978,20.1549815498155,2.7616677037958928,1598.9225141959087,3.147328737008523,715.3439292028777,2.235180098582259,271
impall,5.165957446808511,8.561702127659574,21.99148936170213,3.1719681908548707,813.3933303436748,1.8891923845244405,603.4393982632802,1.3479287774126938,235
Nakkël,9.2882096069869,11.152838427947598,22.436681222707424,2.8445575567736885,1201.3953094871324,2.1658282777364573,655.3825979364004,1.833120551674639,229
Braelan,9.221198156682028,9.078341013824884,22.456221198156683,3.4893401015228425,1323.797113056365,2.2731032211464686,646.7195353345583,2.046941588630911,217
ryoth2,10.528301886792454,9.632075471698114,20.764150943396228,3.248775710088149,1409.082543978349,2.8491011018751204,689.0393968683549,2.0449956132879334,106
